Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
1990_01,10.2038,1,0,192.6997,35.6872,20.0024,1.1761,1.7421,16.0776
1990_02,16.1134,10.2552,0.6276,210.6888,29.5799,21.0966,0.9597,1.8734,15.5862
1990_03,6.0133,2,0,259.213,25.3165,24.8453,0.8131,2.0224,14.2065
1990_11,47.2676,1.9448,0,199.0145,77.8443,22.133,1.2078,1.2239,32.2236
1990_12,49.2881,34.543,2,176.4086,61.3321,18.8399,1.0529,1.177,34.0884
1991_01,18.81,2,0,193.4819,44.4074,17.2712,0.9485,1.6954,25.1496
1991_02,12.5034,3.6276,0,218.2603,35.1638,22.0092,1.011,1.6805,29.4147
1991_03,11.8602,6.2289,0,253.3892,29.2331,26.5009,0.9121,1.9327,26.64
1992_01,7.0099,0.8006,0,197.1789,30.3289,18.2697,1.0283,1.9116,26.4159
1992_02,4.5707,0,0,233.4248,25.8611,19.7586,0.8487,1.7661,24.2415
1992_03,3.7649,0.5681,0,260.2854,22.5688,26.7616,0.9239,2.1089,20.6208
1992_04,2.8372,0,0,278.4507,20.0441,30.5879,0.9193,2.2276,14.3775
1993_01,15.2813,0,0,197.3079,42.7785,18.8011,1.0504,1.7444,19.9854
1993_03,20.2942,15.4493,1,251.4962,28.555,24.8984,0.813,2.0526,14.6628
1993_05,12.2672,9.7691,0.3216,296.8981,21.5972,34.8185,1.4005,3.1563,6.6141
1994_01,54.1716,45.3944,2,171.6863,40.4401,19.2094,1.0817,1.4702,26.6328
1994_02,11.4968,3.6276,0,225.6085,32.6931,20.2266,0.8783,1.9092,24.2748
1994_03,5.1591,0,0,262.5338,27.5353,27.1035,0.9633,1.6881,20.6622
1994_05,10.4844,8.1133,0,294.2663,21.0241,34.4942,1.3896,2.7068,13.7475
1994_12,24.74,0,0,188.2734,50.7719,18.3926,1.0247,1.1035,29.1447
1995_01,45.8627,36.09,2,186.5999,38.8945,16.2632,0.8792,1.7191,28.4067
1995_02,8.638,1.5821,0,222.5515,31.7044,20.7022,0.919,1.7222,25.7598
1995_04,5.0668,1.5438,0,278.7589,23.3041,29.6918,0.893,1.8732,22.0608
1995_05,8.1725,5.8275,0,290.0654,20.6239,33.6758,1.3395,2.4565,17.7552
1995_12,48.8441,34.7778,2,168.5813,59.9946,19.6682,1.1186,1.1574,21.8052
1996_01,40.2205,25.0986,1,165.8688,43.7723,19.118,1.0607,1.5988,22.4388
1996_02,10.1485,1,0,226.2496,34.7756,22.2315,1.0001,1.7937,20.3949
1996_03,15.2154,10,0.2294,251.3008,28.9663,27.9101,1.0248,1.8227,18.9225
1996_04,8.2942,4.6315,0,281.0779,24.8702,30.7241,0.9368,2.1434,15.4179
1996_05,5.9849,2.9725,0,302.479,21.8211,34.384,1.3502,3.1296,11.3031
1996_06,31.0035,30.0726,1.6809,259.2615,19.4529,32.3456,2.3643,3.7144,9.6678
1996_09,115.5303,241.3093,125.7174,204.9422,190.3254,26.19,2.5243,1.4713,30.3453
1996_10,91.4338,43.1584,2,209.1591,139.8596,24.9507,1.6315,1.4036,31.3848
1996_11,51.9294,2.0022,0,207.403,90.0858,21.7415,1.1883,1.1735,31.3173
1996_12,33.2393,0,0,188.4869,56.8505,18.374,1.015,1.4404,35.1207
1997_01,21.596,7.1488,0,186.2658,42.158,17.1597,0.949,1.7156,29.8215
1997_02,8.3796,0,0,234.5949,33.786,20.1126,0.8886,1.916,28.2816
1997_03,5.4905,0,0,258.3257,28.2747,26.5572,0.9407,1.897,24.8562
1997_10,82.8244,36.4298,2,211.9818,142.106,24.8213,1.6113,0.8226,22.9554
1997_11,67.9596,55.3294,3,166.6392,126.7078,22.7379,1.1673,0.8648,24.102
1998_02,33.8648,2.6276,0,222.2789,54.7662,20.7811,0.9403,1.7391,26.3394
1998_03,31.5392,18.7601,1,253.5033,41.0639,25.0541,0.8219,1.7517,24.4116
1998_04,12.431,4.6483,0,270.5791,33.0983,31.1891,0.9813,1.9492,21.6585
1998_05,9.0757,3.8774,0,300.4828,27.8007,35.1206,1.4437,2.922,17.2197
1998_06,60.3795,59.6234,3,242.9959,24.0273,32.7169,2.3995,3.3179,14.5998
1998_09,109.4311,394.3374,284.8892,188.2819,190.3254,26.4005,2.5726,1.5261,27.7191
1998_10,83.9226,24.2148,1,203.9293,129.3963,26.3514,1.7878,1.2174,28.1673
1998_11,62.4505,31.9686,2,192.7649,97.29,22.0887,1.1922,1.2274,27.0756
1998_12,34.3094,0,0,188.655,62.9909,18.5714,1.0455,1.2248,27.4491
1999_01,18.8364,1,0,198.1732,45.2249,17.276,0.9608,1.7005,26.6733
1999_03,6.0938,0,0,265.3525,29.5658,26.7085,0.9503,1.7243,21.9015
1999_04,4.2502,0,0,293.4345,25.3132,31.9513,1.0463,2.3055,17.8875
1999_09,110.6907,623.5312,512.9093,189.5902,190.3254,25.9004,2.4802,1.683,29.6055
1999_10,100.595,73.0636,3.8338,216.5064,159.0337,25.3244,1.6832,1.1197,28.3023
1999_12,36.3054,0,0,188.0259,64.8877,18.2571,1.0235,1.3908,29.6595
2000_02,11.0286,1,0,225.3169,36.1859,19.986,0.8596,1.8649,26.1531
2000_03,6.4316,0,0,268.9631,29.9199,25.6017,0.8665,2.1305,22.1913
2000_04,4.5269,0,0,287.6332,25.5738,32.6049,1.1017,2.6644,14.6313
2000_05,11.2618,8.7412,0,275.9892,22.3512,32.8012,1.2367,2.8029,13.3713
2000_06,78.8515,80.4379,4,243.9187,19.8608,30.2993,2.1083,3.4602,12.1248
2000_10,77.4773,7.2316,0,241.1041,79.4401,27.0596,1.8706,1.2944,19.7541
2000_12,13.9285,1.0633,0,186.2702,39.7395,19.3222,1.0998,1.2988,22.1895
2001_01,17.6679,10.7491,0.8964,192.5778,32.2546,18.3197,0.9896,1.6937,21.8106
2001_03,10.5437,7.0127,0,251.5364,23.5841,26.4959,0.9301,1.7936,13.7799
2001_05,19.6233,18.4128,1,287.2944,18.684,34.3453,1.3,3.2438,8.3142
2001_11,29.264,1,0,210.3195,53.076,22.0261,1.2586,1.2632,21.2319
2002_01,8.0013,0,0,196.517,32.5082,17.6185,0.987,1.8245,17.4735
2002_03,11.3435,8.0218,0,252.4614,23.732,26.6868,0.961,1.7583,11.3328
2002_06,110.9583,114.9331,5.8727,223.4377,17.0052,31.2035,2.3226,3.0037,5.6988
2002_09,124.4277,186.5238,62.0983,218.4913,190.3254,26.153,2.4747,1.8049,26.3907
2002_10,87.0366,9.7527,0.3595,235.935,112.5442,26.5626,1.8072,1.2794,25.5177
2002_12,25.7826,2,0,177.3275,50.0136,21.0609,1.1972,1.0499,25.2963
2003_01,12.4838,1,0,183.7935,38.4625,18.4627,1.0202,1.5558,24.1596
2003_02,14.9082,8.2552,0,207.2857,31.4264,21.8782,0.9713,1.8167,21.7458
2003_04,3.7808,0,0,279.7341,23.1544,31.9191,1.0366,1.9434,17.2332
2003_09,96.733,412.0191,315.348,150.844,190.3254,24.9374,2.3697,2.131,25.7301
2003_10,83.2827,1,0,229.3087,107.9419,25.1022,1.6218,1.5368,28.9215
2003_11,39.4669,0,0,197.3085,68.6815,23.5757,1.3065,0.8385,29.7603
