Date,aet,ppt,ro,srad,soilm,tavg,vap,ws,wa
1994_12_2020_10,54.40455,1.6796,0.0,202.5535,80.0855,22.64105,1.37295,1.25145,29.9727
1994_12_2020_11,35.6242,0.5,0.0,194.70835,57.3062,20.12475,1.12035,1.23165,29.84625
1994_12_2020_12,38.4686,21.5222,1.0,176.78075,51.59625,18.2837,1.0484,1.1032,30.52845
1994_12_2021_01,23.30805,4.9127,0.4796,186.86955,45.28135,18.35585,1.1525,1.39725,30.39165
1994_12_2021_02,16.38305,0.42895,0.0,205.7331,41.524,19.933,1.08305,1.2784,30.1077
1994_12_2021_03,19.2851,4.6818,0.2491,221.79905,39.00385,22.59645,1.1131,1.33635,29.54745
1994_12_2021_10,65.78145,44.5887,2.2032,205.6207,109.46465,21.87925,1.5809,1.06805,29.4687
1994_12_2021_11,42.8025,0.0,0.0,194.0003,79.1052,19.92285,1.2025,1.28835,28.86705
1994_12_2021_12,32.73795,3.73195,0.0,182.7853,62.30985,18.21185,1.1397,1.23995,29.17575
1995_01_1995_02,27.25035,18.83605,1.0,204.5757,35.29945,18.4827,0.8991,1.72065,27.08325
1995_01_1996_09,80.6965,138.69965,63.8587,195.77105,114.60995,21.2266,1.70175,1.5952,29.376
1995_01_1996_10,68.64825,39.6242,2.0,197.8795,89.37705,20.60695,1.25535,1.56135,29.89575
1995_01_1996_11,48.89605,19.0461,1.0,197.00145,64.49015,19.00235,1.03375,1.4463,29.862
1995_01_1997_01,33.72935,21.6194,1.0,186.43285,40.52625,16.71145,0.9141,1.71735,29.1141
1995_01_1997_02,27.12115,18.045,1.0,210.5974,36.34025,18.1879,0.8839,1.81755,28.34415
1995_01_1998_02,39.86375,19.3588,1.0,204.4394,46.83035,18.52215,0.90975,1.7291,27.37305
1995_01_1998_09,77.6469,215.2137,143.4446,187.4409,114.60995,21.33185,1.7259,1.6226,28.0629
1995_01_1998_10,64.89265,30.1524,1.5,195.2646,84.1454,21.3073,1.3335,1.46825,28.287
